Id,FID_1,LCGROUP,LCTYPE,AREA,GROSS_AREA,_count,_sum,_mean,JanVVmean,FebVVmean,MarchVVmean,AprilVVmean,MayVVmean,JuneVVmean,JulyVVmean,AugVVmean,SepVVmean,JanVVrange,FebVVrange,MarchVVrange,AprilVVrange,MayVVrange,JuneVVrange,JulyVVrange,AugVVrange,SeptVVrange,JanVVvariance,FebVVvariance,MarVVvariance,AprilVVvariance,MayVVvariance,JuneVVvariance,JulyVVvariance,AugVVvariance,SeptVVvariance,JanVHmean,FebVHmean,MarchVHmean,AprilVHmean,MayVHmean,JuneVHmean,JulyVHmean,AugVHmean,SepVHmean,JanVHrange,FebVHrange,MarchVHrange,AprilVHrange,MayVHrange,JuneVHrange,JulyVHrange,AugVHrange,SeptVHrange,JanVHvariance,FebVHvariance,MarVHvariance,AprilVHvariance,MayVHvariance,JuneVHvariance,JulyVHvariance,AugVHvariance,SeptVHvariance,JanVVmedian,FebVVmedian,MarVVmedian,AprilVVmedian,MayVVmedian,JuneVVmedian,JulyVVmedian,AugVVmedian,SeptVVmedian,JanVHvariance,FebVHvariance,MarVHvariance,AprilVHvariance,MayVHvariance,JuneVHvariance,JulyVHvariance,AugVHvariance,SeptVHvariance
0,NT/64725/23845,Arable,FALW,1.187,1.187,123,-2085.134612,-16.95231392,-9.101327411,-7.989096796,-10.03420755,-7.467455406,-9.478059737,-9.896635067,-9.628836288,-10.33416043,-15.41857009,6.835197449,8.473148108,8.805957794,8.221378922,10.00210929,8.543438911,10.39317298,8.753304482,9.664006233,3.196947256,2.531530215,3.199704965,3.770928556,4.308055766,2.852179146,4.253740642,4.22752438,2.912118138,-16.08531198,-14.82664539,-16.78588397,-13.90849357,-16.85473436,-15.78963803,-15.92376401,-15.812029,-15.41857009,9.510290146,8.082702637,9.034884453,8.448475838,10.82687283,7.491744041,7.537093163,6.393574715,9.664006233,4.891613452,2.616795891,4.351811404,3.698065163,6.604129374,2.261387517,1.722941737,2.163045279,2.912118138,-9.550643921,-7.763006687,-10.15369272,-8.013741493,-9.698402405,-10.04641342,-9.691187382,-10.22426176,-9.731799126,-15.59484005,-14.7285881,-17.13041115,-14.13853741,-16.80330467,-15.84325647,-16.04495811,-16.04805851,-15.59247112
0,NT/64725/23845,Arable,UCAA,0.833,0.833,85,-1456.810778,-17.13895033,-10.8078215,-8.458097083,-13.06752453,-7.093042371,-10.98562289,-9.820794565,-10.25686584,-9.396899621,-14.50348024,6.410996437,8.434838772,5.003596306,8.103642225,5.198645592,5.720702648,6.611157894,8.424662113,8.119145393,3.57666107,1.955365619,1.659596267,3.584592196,1.552001633,1.924687257,1.779451626,1.982459656,2.638561391,-19.3897464,-16.6058085,-19.32330034,-15.54870886,-20.70001156,-16.69101019,-15.34369155,-15.87355823,-14.50348024,11.37667465,6.741633415,11.93890667,8.260858536,11.22310543,7.157729149,7.248990059,7.721178055,8.119145393,6.505892625,1.88965827,7.59126836,2.163795419,3.346132507,2.078483092,2.306504224,2.600494197,2.638561391,-10.51065826,-8.290552139,-13.48523426,-6.657468319,-11.08314037,-9.987215042,-10.04366541,-9.273106575,-9.299297333,-20.07086754,-16.74189472,-19.76587486,-15.64181662,-20.68941402,-16.75721169,-14.87421179,-15.61858702,-14.52185822
0,NT/64725/23845,Arable,WPOT,12.691,12.691,1268,-25601.48589,-20.19044629,-10.63997316,-8.40307731,-11.83037082,-5.785099322,-10.17292713,-7.126369826,-7.413743259,-7.752558835,-13.01724091,9.753794193,9.237237453,9.002326965,11.43687463,10.40314913,13.39848602,11.06999016,10.39786911,10.00990772,1.77566739,1.989238468,2.04543624,2.428796364,2.266869554,3.526826333,2.633129297,2.577877583,1.791161033,-19.92605497,-16.40821981,-19.87834833,-14.29185904,-22.47221934,-16.02296787,-14.23638187,-14.25999943,-13.01724091,12.2834034,8.923839569,11.17625141,9.122014046,17.01231194,12.35609531,10.15513802,12.81918526,10.00990772,2.913295652,1.884841053,2.226231315,1.879685291,6.978809574,3.10505486,2.085370538,2.163793678,1.791161033,-10.73170137,-8.288262367,-12.02334261,-5.643680573,-10.30212021,-6.952794075,-7.249309778,-7.710809469,-5.279410362,-20.29204178,-16.47764778,-20.00931358,-14.35791254,-22.81301785,-15.99127865,-14.15798473,-14.0791626,-12.88093185
0,NT/65834/23473,Arable,FALW,1.763,1.763,178,-3163.379622,-17.77179563,-11.5613366,-11.03788577,-13.70939108,-10.3253692,-12.58908684,-12.10535851,-9.487852571,-10.07235046,-15.47737817,6.289644241,6.188661575,5.927646637,5.781125069,6.116402626,5.675178528,5.457571983,6.811655045,7.37460804,1.268557528,1.42466116,1.482005373,1.565245565,1.786272679,1.594964042,1.652505618,1.407289832,2.395267712,-20.11205926,-17.47701397,-21.46777629,-15.97999197,-18.3934634,-17.80920134,-15.29247142,-15.37463429,-15.47737817,9.349415779,6.675804138,7.625455856,6.711330414,6.786637306,8.255380631,8.130659103,6.569626808,7.37460804,1.765140876,1.355624481,2.025876642,1.551437409,2.190321406,2.073060732,2.361590259,2.0797352,2.395267712,-11.80477095,-11.14399624,-13.75660324,-10.59283018,-12.69310331,-12.14218235,-9.379563332,-9.892337799,-9.401763916,-20.25866985,-17.46148109,-21.68405151,-16.12589931,-18.37678814,-17.76214409,-15.4494772,-15.19643879,-15.47839165
0,NT/65398/23494,Arable,FALW,4.386,4.386,435,-7653.500463,-17.59425394,-11.37010477,-9.29511474,-12.94133809,-8.934539583,-10.72922958,-10.24313656,-9.669315572,-9.525718894,-14.88126513,7.369630337,8.66185379,9.055604935,6.522655964,8.478626728,10.09864187,8.381756306,8.961346388,7.984074593,1.769699603,2.338175504,2.085143471,1.15206064,2.352116672,2.455690549,1.437001052,1.942292921,2.093038448,-18.99885386,-17.2785997,-19.26881439,-14.7666772,-19.29499107,-16.53952587,-15.3624187,-18.54922019,-14.88126513,11.02062321,9.976967812,9.589325905,8.134763718,12.94680691,8.593173981,7.83038044,10.19732571,7.984074593,3.28493208,2.87556979,2.034312451,2.200141916,4.169971616,2.100336216,2.824096724,3.102756629,2.093038448,-11.81064796,-9.444480896,-13.22058868,-9.070930481,-10.35234404,-9.938521385,-9.759007454,-9.455915451,-7.381517649,-19.23574734,-17.49030972,-19.32830238,-14.98672199,-19.42540455,-16.65055656,-15.177495,-18.6870079,-14.85522938
0,NT/65834/23473,Arable,WO,7.826,7.826,783,-15021.41648,-19.18443995,-9.903198821,-8.013119846,-12.24061068,-8.161831185,-13.75653888,-13.96752456,-12.66737465,-12.32205646,-18.33297888,7.412256718,8.811672926,9.782572269,7.82883215,11.30164766,10.16198826,7.446028709,8.043626785,8.721290588,1.894136477,1.308569323,2.21854258,1.946395936,3.257938031,2.5141648,1.264466135,1.571195324,1.773113736,-19.31041545,-16.72330495,-21.60542301,-15.50654715,-20.19158693,-19.7823583,-21.21972356,-20.47493505,-18.33297888,11.78698349,6.934254646,11.73504162,8.944810867,10.54528522,9.837573052,15.2308712,13.55156994,8.721290588,1.862341366,1.182897828,2.63987535,1.630725237,3.169903278,1.712999056,4.78951403,4.446372346,1.773113736,-9.881971836,-8.040834904,-12.06284523,-8.047169685,-13.98200417,-14.08884144,-12.81611872,-12.27987099,-10.93295956,-19.38054943,-16.7806282,-21.91354752,-15.64462662,-20.28196335,-19.75841522,-21.47076797,-20.44779301,-18.43115234
0,NT/65706/23711,Permanent Grassland,PGRS,1.997,1.997,200,-3346.260546,-16.73130273,-11.85810506,-9.72868823,-12.84856642,-9.424998834,-11.81781977,-11.96574968,-12.03171305,-12.03114963,-17.63456961,7.94222784,5.525416374,7.122699738,6.221226692,7.393198967,8.309351444,7.378931522,8.339761734,6.754713058,1.159954956,3.821250436,1.632577641,1.603888236,2.179726796,4.675609778,2.954209879,2.684429337,2.140591305,-19.63276993,-17.71597452,-19.85604389,-16.89349941,-18.29686822,-17.91365493,-17.80357225,-17.83742023,-17.63456961,8.942843437,8.82760334,9.567667007,7.48084259,9.807785988,8.197534561,9.282456398,8.414937019,6.754713058,4.830753313,3.261918859,5.216860395,2.805165553,4.685929488,2.705954296,3.979390327,3.9856838,2.140591305,-12.48364115,-9.991598129,-13.09714031,-9.737690926,-12.30464745,-12.64894915,-12.64030647,-12.43536091,-11.89438152,-19.61431694,-18.05541801,-20.59678078,-17.39735126,-18.6304245,-17.96554375,-17.89559937,-18.36168671,-17.84998512
0,NT/65588/23887,Arable,WW,14.949,14.949,1493,-29314.37672,-19.63454569,-9.208789008,-5.671535226,-9.90508433,-6.079624453,-12.76081146,-14.77957122,-13.11487588,-11.93118837,-17.04082781,8.71340847,10.47088057,8.354735374,8.681016564,9.621214867,12.65725327,11.13755846,11.15867949,8.853221893,2.389532435,1.440720859,2.221626455,1.85260905,1.809871468,3.215747655,2.68292021,2.248131709,1.616688005,-19.36423245,-15.51364642,-19.99441818,-14.75662496,-19.64550266,-20.52711163,-18.91611894,-20.16877142,-17.04082781,10.08307266,9.535921097,14.34819126,6.843072891,11.30726624,13.86236477,11.90047359,12.65770149,8.853221893,2.308750893,1.680135812,2.607182017,1.328745591,2.812417126,3.738566047,2.745547383,4.26241696,1.616688005,-9.282278061,-5.61421752,-9.907697678,-5.961205006,-13.086586,-15.06997299,-13.26196384,-12.02845192,-8.756274223,-19.35650444,-15.58512068,-20.19255829,-14.84959459,-19.81162071,-20.67784977,-19.04062843,-20.34942818,-17.12328148
0,NT/65033/23896,Permanent Grassland,PGRS,1.078,1.078,109,-1955.469243,-17.9400848,-10.87851269,-7.361008226,-10.97716111,-6.553205254,-11.45275531,-10.85462616,-11.4999968,-12.68160392,-17.52787539,8.902993679,4.088689804,5.18889904,4.555067539,8.595114231,9.742413998,10.62630653,8.767610073,9.594938278,1.269644478,4.538776164,0.979499882,1.153676895,4.71441984,3.397120391,5.267957112,4.987235829,5.413932167,-18.3308415,-15.85622197,-18.71359863,-14.28447618,-18.54390159,-18.304391,-18.43176104,-18.0796449,-17.52787539,8.922100067,7.570346832,8.656337738,5.985972404,10.42088318,10.05338573,9.956619263,8.829030991,9.594938278,4.760916696,3.640794099,4.269860373,2.714431779,8.520180754,4.822275167,6.271563102,4.97539691,5.413932167,-11.43530083,-7.450676441,-10.79662561,-6.625763893,-11.7844882,-11.34291267,-11.89707518,-13.43768883,-11.93537045,-18.4984684,-15.55984211,-19.52009773,-14.81439781,-19.54533386,-18.90603256,-18.82073307,-18.96219063,-18.10720158
0,NT/65217/23983,Arable,WO,6.573,6.573,655,-12711.21643,-19.40643729,-10.4744393,-7.733491097,-11.93023801,-7.513368722,-14.17379209,-14.0034975,-12.07603432,-12.30777408,-17.64477054,9.798453331,8.107643127,10.08814526,7.134501934,11.69770861,10.97425318,7.597396374,8.42152977,8.59632206,2.229868557,2.109209904,2.341257289,1.458419166,2.604092195,2.099123136,1.537765618,1.637354105,1.757642884,-18.92180803,-16.26114136,-20.45976682,-15.5331847,-20.47726654,-19.42053744,-21.08543867,-19.2852351,-17.64477054,8.398143768,8.400526047,11.32146358,6.779545784,14.59398937,9.713931084,12.70005035,10.7994976,8.59632206,1.625797731,1.466875529,2.387575618,1.815654956,4.121225225,2.159691694,3.834248185,3.691702367,1.757642884,-10.47300911,-7.697952747,-11.89470816,-7.628651619,-14.43264198,-14.16689014,-12.20641804,-12.42008018,-9.979960442,-18.9335165,-16.17821312,-20.46837425,-15.71665955,-20.7172451,-19.43530083,-21.36428833,-19.49292183,-17.69453812
